,Fecha,Mes,Día,Tipo de día,Día del mes,Día de la semana,Día laboral,Unidades
127,2018-05-08,5,Tuesday,Semana,8,2,1,829
128,2018-05-09,5,Wednesday,Semana,9,3,1,954
129,2018-05-10,5,Thursday,Semana,10,4,1,1078
130,2018-05-11,5,Friday,Semana,11,5,1,1036
131,2018-05-12,5,Saturday,Semana,12,6,1,346
132,2018-05-13,5,Sunday,Domingos y festivos,13,0,0,0
133,2018-05-14,5,Monday,Semana,14,1,1,827
134,2018-05-15,5,Tuesday,Semana,15,2,1,951
135,2018-05-16,5,Wednesday,Semana,16,3,1,1076
136,2018-05-17,5,Thursday,Semana,17,4,1,1201
137,2018-05-18,5,Friday,Semana,18,5,1,1119
138,2018-05-19,5,Saturday,Semana,19,6,1,394
139,2018-05-20,5,Sunday,Domingos y festivos,20,0,0,0
140,2018-05-21,5,Monday,Semana,21,1,1,949
141,2018-05-22,5,Tuesday,Semana,22,2,1,1074
142,2018-05-23,5,Wednesday,Semana,23,3,1,1199
143,2018-05-24,5,Thursday,Semana,24,4,1,1323
144,2018-05-25,5,Friday,Semana,25,5,1,1284
145,2018-05-26,5,Saturday,Semana,26,6,1,502
146,2018-05-27,5,Sunday,Domingos y festivos,27,0,0,0
147,2018-05-28,5,Monday,Semana,28,1,1,1072
148,2018-05-29,5,Tuesday,Semana,29,2,1,1196
149,2018-05-30,5,Wednesday,Semana,30,3,1,1321
150,2018-05-31,5,Thursday,Semana,31,4,1,1446
151,2018-06-01,6,Friday,Semana,1,5,1,978
152,2018-06-02,6,Saturday,Semana,2,6,1,288
153,2018-06-03,6,Sunday,Domingos y festivos,3,0,0,0
154,2018-06-04,6,Monday,Semana,4,1,1,675
155,2018-06-05,6,Tuesday,Semana,5,2,1,800
156,2018-06-06,6,Wednesday,Semana,6,3,1,925
157,2018-06-07,6,Thursday,Semana,7,4,1,1075
158,2018-06-08,6,Friday,Semana,8,5,1,1027
159,2018-06-09,6,Saturday,Semana,9,6,1,337
160,2018-06-10,6,Sunday,Domingos y festivos,10,0,0,0
161,2018-06-11,6,Monday,Semana,11,1,1,797
162,2018-06-12,6,Tuesday,Semana,12,2,1,922
163,2018-06-13,6,Wednesday,Semana,13,3,1,1047
164,2018-06-14,6,Thursday,Semana,14,4,1,1172
165,2018-06-15,6,Friday,Semana,15,5,1,1076
166,2018-06-16,6,Saturday,Semana,16,6,1,386
167,2018-06-17,6,Sunday,Domingos y festivos,17,0,0,0
168,2018-06-18,6,Monday,Semana,18,1,1,920
169,2018-06-19,6,Tuesday,Semana,19,2,1,1045
170,2018-06-20,6,Wednesday,Semana,20,3,1,1170
171,2018-06-21,6,Thursday,Semana,21,4,1,1294
172,2018-06-22,6,Friday,Semana,22,5,1,1238
173,2018-06-23,6,Saturday,Semana,23,6,1,456
174,2018-06-24,6,Sunday,Domingos y festivos,24,0,0,0
175,2018-06-25,6,Monday,Semana,25,1,1,1042
176,2018-06-26,6,Tuesday,Semana,26,2,1,1167
177,2018-06-27,6,Wednesday,Semana,27,3,1,1292
178,2018-06-28,6,Thursday,Semana,28,4,1,1417
179,2018-06-29,6,Friday,Semana,29,5,1,1404
180,2018-06-30,6,Saturday,Semana,30,6,1,621
