,Fecha,Unidades_pred
367,2013-01-02,799
368,2013-01-03,1017
369,2013-01-04,938
370,2013-01-05,248
371,2013-01-06,0
372,2013-01-07,0
373,2013-01-08,735
374,2013-01-09,860
375,2013-01-10,1023
376,2013-01-11,986
377,2013-01-12,296
378,2013-01-13,0
379,2013-01-14,733
380,2013-01-15,858
381,2013-01-16,983
382,2013-01-17,1108
383,2013-01-18,1035
384,2013-01-19,345
385,2013-01-20,0
386,2013-01-21,856
387,2013-01-22,980
388,2013-01-23,1105
389,2013-01-24,1230
390,2013-01-25,1185
391,2013-01-26,403
392,2013-01-27,0
393,2013-01-28,978
394,2013-01-29,1103
395,2013-01-30,1228
396,2013-01-31,1353
397,2013-02-01,929
398,2013-02-02,239
399,2013-02-03,0
400,2013-02-04,581
401,2013-02-05,706
402,2013-02-06,831
403,2013-02-07,1032
404,2013-02-08,978
405,2013-02-09,288
406,2013-02-10,0
407,2013-02-11,704
408,2013-02-12,829
409,2013-02-13,954
410,2013-02-14,1078
411,2013-02-15,1027
412,2013-02-16,337
413,2013-02-17,0
414,2013-02-18,826
415,2013-02-19,951
416,2013-02-20,1076
417,2013-02-21,1201
418,2013-02-22,1139
419,2013-02-23,386
420,2013-02-24,0
421,2013-02-25,949
422,2013-02-26,1074
423,2013-02-27,1199
424,2013-02-28,1323
425,2013-03-01,941
426,2013-03-02,251
427,2013-03-03,0
428,2013-03-04,605
429,2013-03-05,730
430,2013-03-06,854
431,2013-03-07,1042
432,2013-03-08,990
433,2013-03-09,300
434,2013-03-10,0
435,2013-03-11,727
436,2013-03-12,852
437,2013-03-13,977
438,2013-03-14,1102
439,2013-03-15,1039
440,2013-03-16,349
441,2013-03-17,0
442,2013-03-18,850
443,2013-03-19,975
444,2013-03-20,1099
445,2013-03-21,1224
446,2013-03-22,1164
447,2013-03-23,398
448,2013-03-24,0
449,2013-03-25,0
450,2013-03-26,1097
451,2013-03-27,1222
452,2013-03-28,0
453,2013-03-29,0
454,2013-03-30,546
455,2013-03-31,0
456,2013-04-01,576
457,2013-04-02,700
458,2013-04-03,833
459,2013-04-04,1051
460,2013-04-05,981
461,2013-04-06,292
462,2013-04-07,0
463,2013-04-08,698
464,2013-04-09,823
465,2013-04-10,948
466,2013-04-11,1073
467,2013-04-12,1030
468,2013-04-13,340
469,2013-04-14,0
470,2013-04-15,821
471,2013-04-16,945
472,2013-04-17,1070
473,2013-04-18,1195
474,2013-04-19,1118
475,2013-04-20,389
476,2013-04-21,0
477,2013-04-22,943
478,2013-04-23,1068
479,2013-04-24,1193
480,2013-04-25,1318
481,2013-04-26,1283
482,2013-04-27,500
483,2013-04-28,0
484,2013-04-29,1066
485,2013-04-30,1190
486,2013-05-01,0
487,2013-05-02,1060
488,2013-05-03,980
489,2013-05-04,290
490,2013-05-05,0
491,2013-05-06,686
492,2013-05-07,811
493,2013-05-08,936
494,2013-05-09,1066
495,2013-05-10,1029
496,2013-05-11,339
497,2013-05-12,0
498,2013-05-13,0
499,2013-05-14,934
500,2013-05-15,1059
501,2013-05-16,1183
502,2013-05-17,1096
503,2013-05-18,388
504,2013-05-19,0
505,2013-05-20,932
506,2013-05-21,1056
507,2013-05-22,1181
508,2013-05-23,1306
509,2013-05-24,1261
510,2013-05-25,478
511,2013-05-26,0
512,2013-05-27,1054
513,2013-05-28,1179
514,2013-05-29,1304
515,2013-05-30,1428
516,2013-05-31,1426
517,2013-06-01,281
518,2013-06-02,0
519,2013-06-03,0
520,2013-06-04,782
521,2013-06-05,907
522,2013-06-06,1074
523,2013-06-07,1020
524,2013-06-08,330
525,2013-06-09,0
526,2013-06-10,0
527,2013-06-11,905
528,2013-06-12,1030
529,2013-06-13,1154
530,2013-06-14,1069
531,2013-06-15,379
532,2013-06-16,0
533,2013-06-17,902
534,2013-06-18,1027
535,2013-06-19,1152
536,2013-06-20,1277
537,2013-06-21,1215
538,2013-06-22,432
539,2013-06-23,0
540,2013-06-24,1025
541,2013-06-25,1150
542,2013-06-26,1275
543,2013-06-27,1399
544,2013-06-28,1380
545,2013-06-29,597
546,2013-06-30,0
547,2013-07-01,0
548,2013-07-02,771
549,2013-07-03,895
550,2013-07-04,1083
551,2013-07-05,1018
552,2013-07-06,328
553,2013-07-07,0
554,2013-07-08,768
555,2013-07-09,893
556,2013-07-10,1018
557,2013-07-11,1143
558,2013-07-12,1067
559,2013-07-13,377
560,2013-07-14,0
561,2013-07-15,891
562,2013-07-16,1016
563,2013-07-17,1140
564,2013-07-18,1265
565,2013-07-19,1192
566,2013-07-20,0
567,2013-07-21,0
568,2013-07-22,1013
569,2013-07-23,1138
570,2013-07-24,1263
571,2013-07-25,1388
572,2013-07-26,1358
573,2013-07-27,575
574,2013-07-28,0
575,2013-07-29,1136
576,2013-07-30,1261
577,2013-07-31,1385
578,2013-08-01,1092
579,2013-08-02,1010
580,2013-08-03,320
581,2013-08-04,0
582,2013-08-05,739
583,2013-08-06,864
584,2013-08-07,989
585,2013-08-08,1114
586,2013-08-09,1059
587,2013-08-10,369
588,2013-08-11,0
589,2013-08-12,862
590,2013-08-13,986
591,2013-08-14,1111
592,2013-08-15,1236
593,2013-08-16,1146
594,2013-08-17,0
595,2013-08-18,0
596,2013-08-19,0
597,2013-08-20,1109
598,2013-08-21,1234
599,2013-08-22,1359
600,2013-08-23,1312
601,2013-08-24,529
602,2013-08-25,0
603,2013-08-26,1107
604,2013-08-27,1231
605,2013-08-28,1356
606,2013-08-29,1481
607,2013-08-30,1477
608,2013-08-31,694
609,2013-09-01,0
610,2013-09-02,710
611,2013-09-03,835
612,2013-09-04,960
613,2013-09-05,1106
614,2013-09-06,1050
615,2013-09-07,360
616,2013-09-08,0
617,2013-09-09,832
618,2013-09-10,957
619,2013-09-11,1082
620,2013-09-12,1207
621,2013-09-13,1100
622,2013-09-14,409
623,2013-09-15,0
624,2013-09-16,955
625,2013-09-17,1080
626,2013-09-18,1205
627,2013-09-19,1329
628,2013-09-20,1266
629,2013-09-21,483
630,2013-09-22,0
631,2013-09-23,1077
632,2013-09-24,1202
633,2013-09-25,1327
634,2013-09-26,1452
635,2013-09-27,1431
636,2013-09-28,648
637,2013-09-29,0
638,2013-09-30,1200
639,2013-10-01,823
640,2013-10-02,948
641,2013-10-03,1115
642,2013-10-04,1048
643,2013-10-05,358
644,2013-10-06,0
645,2013-10-07,821
646,2013-10-08,946
647,2013-10-09,1070
648,2013-10-10,1195
649,2013-10-11,1097
650,2013-10-12,407
651,2013-10-13,0
652,2013-10-14,0
653,2013-10-15,1068
654,2013-10-16,1193
655,2013-10-17,1318
656,2013-10-18,1243
657,2013-10-19,460
658,2013-10-20,0
659,2013-10-21,1066
660,2013-10-22,1191
661,2013-10-23,1315
662,2013-10-24,1440
663,2013-10-25,1408
664,2013-10-26,625
665,2013-10-27,0
666,2013-10-28,1188
667,2013-10-29,1313
668,2013-10-30,1438
669,2013-10-31,1563
670,2013-11-01,1040
671,2013-11-02,350
672,2013-11-03,0
673,2013-11-04,0
674,2013-11-05,917
675,2013-11-06,1041
676,2013-11-07,1166
677,2013-11-08,1088
678,2013-11-09,399
